Nome; CPF; Contrato; Produto; Vencimento; Valor
Aline Batista;123.456.780-10;1122;Cheque especial;27/03/2022;4100,75
João Victor Mota;201.045.330-91;4587;Cartão de crédito;19/09/2021;11500,00
Marcos Pereira;789.654.120-33;3399;Financiamento veículo;05/05/2022;67200,30
Helena Oliveira;312.908.450-66;7721;Crédito pessoal;14/10/2021;25500,40
Eduardo Sampaio;623.710.990-44;6677;Cartão de crédito;22/02/2021;9350,60
Bianca Costa;587.321.660-08;6412;Cheque especial;09/01/2022;6200,99
Rodrigo Azevedo;934.285.220-55;9210;Financiamento veículo;11/07/2021;48500,20
Daniela Alves;371.092.680-04;3129;Crédito pessoal;28/08/2021;51200,00
Rafael Costa;188.455.760-95;7002;Financiamento imobiliário;20/12/2021;142000,00
Tatiana Mendes;559.016.880-62;6124;Cheque especial;03/04/2021;4800,80
Bruno de Andrade;412.987.230-18;5142;Financiamento imobiliário;16/06/2021;123500,85
Camila Figueiredo;625.134.960-27;6710;Crédito pessoal;02/05/2022;39200,30
Diego Carvalho;278.410.550-62;4384;Financiamento veículo;07/11/2021;41000,15
Elaine Barbosa;839.602.710-44;5998;Cartão de crédito;18/09/2021;10800,60
Fernando Matos;190.275.840-73;3107;Crédito pessoal;24/05/2021;37900,90
Gustavo Fontes;504.768.120-99;5221;Financiamento imobiliário;11/02/2022;140210,40
Heloísa Garcia;032.657.400-58;4886;Cartão de crédito;12/08/2021;16250,22
Igor Menezes;790.543.220-11;7554;Financiamento veículo;19/03/2022;52100,11
Juliana Corrêa;459.302.870-85;6789;Cheque especial;27/11/2021;7300,50
Karina Rocha;613.928.150-20;5433;Crédito pessoal;08/04/2022;31500,00
